,Well_ID,AL_Key,Artificial_Lift_Type,AL_Bottom_Depth,ESP_Pump_Stages,DLS_Critical,ESP_Motor_Frequency_Rating,ESP_Motor_Current_Rating,ESP_Motor_Voltage_Rating,ESP_Motor_Power_Rating,DLS_at_Set_Depth,Failure_Type,Failure_Type_Detail
20,21,ESP_1,ESP,7713.61,0,19.70397308,,,,,0.214318149,ELECTRICAL,UNKNOWN
21,16,ESP_1,ESP,7615.5,0,19.69456194,,,,,,TUBING,BODY
22,20,ESP_1,ESP,7642.66,0,24.14407968,,,,,0.191647584,TUBING,BODY
23,76,ESP_1,ESP,7683.3,0,24.14407968,,,,,,TUBING,BODY
24,77,ESP_1,ESP,7472.81,0,24.60263741,,,,,1.070098748,ELECTRICAL,CABLE
25,60,ESP_1,ESP,7205.7,400,13.35810075,,75,1393,161,8.982288186,TUBING,BODY
26,354,ESP_1,ESP,7376.19,400,13.34188621,,,,,143.251918,ELECTRICAL,MOTOR
27,13,ESP_1,ESP,7568.34,0,19.40592575,,,,,0.315950746,ELECTRICAL,MOTOR
28,10,ESP_1,ESP,7642.83,418,25.63827614,,91,1222,167,0.204114141,TUBING,BODY
29,10,ESP_2,ESP,7605.56,418,19.09858875,,91,1222,167,0.228378785,ELECTRICAL,MOTOR
30,59,ESP_1,ESP,7798.64,445,19.07413474,,90.5,1222,167,0.152061669,ELECTRICAL,CABLE
31,107,ESP_1,ESP,7837.15,415,15.96573378,,73,1680,191,,ELECTRICAL,CABLE
32,107,ESP_2,ESP,7779.21,415,19.14153448,,91,1222,167,,TUBING,BODY
33,352,ESP_1,ESP,7877.84,415,15.96078185,,,,,,ELECTRICAL,UNKNOWN
34,352,ESP_2,ESP,7874.24,410,16.0411464,,73,1680,191,,ELECTRICAL,CABLE
35,27,ESP_1,ESP,7988.34,410,15.91264745,,73,1680,191,0.615534439,TUBING,BODY
36,54,ESP_2,ESP,7559.66,500,21.02596823,,73,1835,208,,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
37,346,ESP_1,ESP,7466.17,0,25.24897737,,,,,,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
38,259,ESP_3,ESP,8547.96,334,7.241439951,,,,,1.693268589,PUMP,SHAFT
39,351,ESP_4,ESP,7355.29,300,26.92615602,,75,1156,134,,ELECTRICAL,MOTOR
40,69,ESP_2,ESP,8811.19,0,7.362130105,,,,,,ELECTRICAL,MOTOR
41,105,ESP_2,ESP,8724.94,0,7.069189105,,,,,0.666215653,PUMP,MOTOR
42,30,ESP_2,ESP,8568.31,0,7.262718843,,,,,0.327978133,ELECTRICAL,MOTOR
43,257,ESP_2,ESP,8189.83,420,,,76,1186,110,,ELECTRICAL,MOTOR
44,53,ESP_2,ESP,8729.19,0,4.879670619,,,,,1.197792419,ELECTRICAL,MOTOR
45,147,ESP_2,ESP,8666.85,0,6.775168727,,,,,,ELECTRICAL,CABLE
46,63,ESP_2,ESP,7967.4,445,17.52988911,,75,1393,161,0.372330009,ELECTRICAL,CABLE
47,52,ESP_2,ESP,8657.97,0,6.508039438,,,,,0.263426265,PUMP,BODY
48,84,ESP_1,ESP,8180.27,415,24.62579861,,73,1680,191,,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
49,12,ESP_1,ESP,8112.63,415,24.37859866,,73,1680,191,0.457581601,ELECTRICAL,MOTOR
50,128,ESP_1,ESP,8389.07,445,18.3685567,60,91,1222,167,,ELECTRICAL,MOTOR
51,113,ESP_1,ESP,8367.75,445,17.50002911,60,75,1393,161,0.179821107,ELECTRICAL,CABLE
52,113,ESP_2,ESP,8621.67,0,7.107809335,,,,,0.991308015,ELECTRICAL,MOTOR
53,339,ESP_1,ESP,8393.5,445,18.40259354,60,91,1222,167,0.378523005,ELECTRICAL,CABLE
54,339,ESP_2,ESP,8659.4,0,6.533299243,,,,,2.229769269,ELECTRICAL,MOTOR
55,73,ESP_1,ESP,8336.69,445,17.48872949,60,75,1393,161,,ELECTRICAL,CABLE
56,349,ESP_1,ESP,8288.28,89,17.46412637,60,75,1393,161,,PUMP,SHAFT
57,35,ESP_1,ESP,8610.69,0,14.49166592,,,,,,ELECTRICAL,CABLE
58,130,ESP_1,ESP,8505.29,0,11.65627385,,,,,,ELECTRICAL,CABLE
59,263,ESP_2,ESP,8695.78,420,22.08583849,,44,2950,200,0.515731894,PUMP,STAGE
60,353,ESP_1,ESP,8568.9,0,11.65627385,,,,,0.40453889,ELECTRICAL,CABLE
61,353,ESP_2,ESP,8512.84,0,18.39865198,,,,,0.465696549,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
62,62,ESP_1,ESP,8577.1,0,22.84273727,,,,,8.687692366,ELECTRICAL,MOTOR
63,127,ESP_1,ESP,7118.31,0,34.54973956,,,,,,PUMP,UNKNOWN
64,70,ESP_1,ESP,7279.82,0,34.99328722,,,,,1.115982396,ELECTRICAL,UNKNOWN
65,25,ESP_1,ESP,7516.15,415,13.07203155,,75,1393,161,0.294302776,PUMP,SHAFT
66,72,ESP_1,ESP,7517.8,415,13.07203155,,75,1393,161,,ELECTRICAL,UNKNOWN
67,97,ESP_1,ESP,7382.49,415,13.19499337,,75,1393,161,0.152958922,TUBING,BODY
68,74,ESP_1,ESP,8471.14,42,19.70358765,,52,1508,120,,ELECTRICAL,MOTOR
69,74,ESP_3,ESP,8533.28,300,26.24772471,,,,,,PUMP,STAGE
70,81,ESP_1,ESP,8320.05,284,19.73260975,,,,,,ELECTRICAL,CABLE
71,81,ESP_2,ESP,8317.49,300,24.27588544,,67.1,2626,270,,ELECTRICAL,POTHEAD
72,96,ESP_1,ESP,8170.47,304,23.42463635,,67.1,2626,270,,ELECTRICAL,MOTOR
73,4,ESP_2,ESP,7418.04,351,19.13009991,,67.1,2626,270,,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
74,7,ESP_1,ESP,7367.24,267,19.05016544,,,,,,ELECTRICAL,MOTOR
75,7,ESP_2,ESP,7375.15,300,23.19624053,,42.3,2314,150,,PUMP,STAGE
76,109,ESP_1,ESP,7359.18,267,19.40137572,,,,,,TUBING,BODY
77,50,ESP_1,ESP,7461.96,267,19.45075104,,,,,,PUMP,COUPLING (BOX)
78,50,ESP_2,ESP,7489.46,300,23.64962277,,67.1,2626,270,,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
79,19,ESP_1,ESP,7688.29,0,19.3754439,,,,,7.499411306,PUMP,STAGE
80,91,ESP_1,ESP,7265.98,415,18.08864013,,,,,9.60027721,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
81,100,ESP_1,ESP,7186.61,415,17.55054166,,,,,8.494028119,ELECTRICAL,MOTOR
82,17,ESP_1,ESP,7278.23,415,15.54334098,,,,,1.92547833,TUBING,BODY
83,23,ESP_1,ESP,7814.4,284,16.75602999,,67.1,2626,270,,TUBING,BODY
84,89,ESP_1,ESP,7696.56,284,17.04903524,,456,4181,18,,ELECTRICAL,MOTOR
85,37,ESP_1,ESP,7826.93,284,16.85982595,,18,4181,456,,PUMP,COUPLING (BOX)
86,102,ESP_1,ESP,7688.95,284,18.94639646,,18,4181,456,,PUMP,STAGE
87,132,ESP_4,ESP,8438.3,456,16.95597147,,76,1186,110,,ELECTRICAL,CABLE
88,132,ESP_5,ESP,8683.62,0,7.022547291,,,,,,PUMP,MOTOR
89,328,ESP_1,ESP,8229.6,0,6.959543198,,,,,,PUMP,SHAFT
90,350,ESP_1,ESP,7865.17,445,10.49597095,60,75,1393,161,,TUBING,BODY
91,66,ESP_1,ESP,8484.32,445,17.55364374,60,75,1393,161,,PUMP,CABLE
92,82,ESP_1,ESP,8736.32,0,5.145557122,,,,,1.700564139,PUMP,CABLE
93,115,ESP_1,ESP,8750.49,0,5.190540249,,,,,,ELECTRICAL,MOTOR
94,11,ESP_1,ESP,8460.78,0,,,,,,0.168662981,ELECTRICAL,CABLE
95,106,ESP_1,ESP,8803.56,0,6.168489571,,,,,0.432612844,PUMP,SHAFT
96,158,ESP_1,ESP,0,0,,,,,,0.762632014,ELECTRICAL,MOTOR
97,64,ESP_1,ESP,8224.43,0,24.59654413,,,,,,PUMP,UNKNOWN
98,55,ESP_1,ESP,8396.67,0,7.801263176,,,,,,ELECTRICAL,UNKNOWN
99,116,ESP_1,ESP,8098.22,356,7.614640594,,,,,0.918900219,PUMP,SHAFT
100,5,ESP_1,ESP,7925.35,445,10.36871934,60,75,1393,161,,ELECTRICAL,UNKNOWN
101,90,ESP_1,ESP,7892.13,445,17.49489111,,75,1393,161,0.179873827,ELECTRICAL,MOTOR
102,28,ESP_1,ESP,7842.18,445,17.55674692,,75,1393,161,0.478567934,ELECTRICAL,CABLE
103,80,ESP_1,ESP,8582.49,445,13.67628157,60,75,1393,161,,PUMP,SHAFT
104,61,ESP_1,ESP,8481.26,0,5.185446048,,,,,,ELECTRICAL,MOTOR
105,43,ESP_1,ESP,7783.63,445,22.47093583,60,91,1222,167,,TUBING,BODY
106,103,ESP_1,ESP,8084.73,351,15.71951148,,18,4181,456,,PUMP,SHAFT
107,101,ESP_1,ESP,7803.24,351,33.17140948,,18,4181,456,,PUMP,STAGE
108,337,ESP_1,ESP,8596.47,0,11.75893619,,,,,8.767229801,TUBING,BODY
109,6,ESP_1,ESP,8528.73,415,18.05137788,,,,,11.67172714,PUMP,SHAFT
110,330,ESP_1,ESP,8592,415,12.92484755,,,,,,ELECTRICAL,CABLE
111,240,ESP_1,ESP,8536,0,12.81878532,,,,,,ELECTRICAL,MOTOR
112,217,ESP_1,ESP,8505.1,0,12.81878532,,,,,0.092561665,PUMP,MOTOR
113,40,ESP_1,ESP,8502.67,0,12.86153247,,,,,,TUBING,UNKNOWN
114,93,ESP_1,ESP,8761.28,0,20.2142823,,,,,2.30306935,ELECTRICAL,CABLE
115,68,ESP_1,ESP,8750.5,0,20.05356278,,,,,,PUMP,BODY
116,87,ESP_2,ESP,7967.64,445,18.77129453,,78.5,1664,204,0.335559698,ELECTRICAL,MOTOR
117,248,ESP_2,ESP,8346.43,415,17.32197655,,70,1825,208,0.304522011,ELECTRICAL,CABLE
118,48,ESP_1,ESP,8092.32,0,17.41818674,,,,,,TUBING,BODY
119,22,ESP_1,ESP,7880.92,0,17.32113936,,,,,,PUMP,SHAFT
120,51,ESP_1,ESP,8070.28,0,15.69516981,,,,,,ELECTRICAL,UNKNOWN
121,42,ESP_1,ESP,7907.61,0,19.89831869,,,,,16.17941403,PUMP,STAGE
122,261,ESP_1,ESP,8434.59,267,16.31863879,,67.1,2626,270,1.167381611,TUBING,BODY
123,123,ESP_2,ESP,8051.39,304,20.55878923,,49.6,1055,71.4,,TUBING,COLLAR
124,14,ESP_1,ESP,8252.73,267,19.44200796,,67.1,2626,270,10.1774704,PUMP,STAGE
125,32,ESP_1,ESP,8599.37,267,19.43367392,,67.1,2626,270,0.879449208,ELECTRICAL,CABLE
126,361,ESP_1,ESP,7499,415,18.46849029,,,,,0.166860346,TUBING,BODY
127,92,ESP_1,ESP,8562.68,267,16.23531921,,67.1,2626,270,,ELECTRICAL,MOTOR LEAD EXTENSION (MLE)
128,1,ESP_2,ESP,8593.57,415,17.86199,,73,1835,208,0.392308735,ELECTRICAL,MOTOR
129,120,ESP_1,ESP,8171.04,267,19.4106738,,18,4181,45,,ELECTRICAL,MOTOR
130,122,ESP_1,ESP,8211.9,267,19.37518406,,18,4181,456,13.41168964,PUMP,STAGE
131,121,ESP_1,ESP,8557.56,267,24.08552496,,67.1,2626,270,,PUMP,STAGE
132,362,ESP_1,ESP,8411.17,267,19.40354715,,67.1,2626,270,,TUBING,BODY
133,362,ESP_2,ESP,8411.18,0,19.1337909,,67.1,2626,270,,PUMP,STAGE
134,269,ESP_1,ESP,8575.39,267,19.37886994,,67.1,2626,270,,PUMP,COUPLING (BOX)
135,129,ESP_1,ESP,8680.67,267,19.38133837,,67.1,2626,270,,PUMP,STAGE
136,145,ESP_1,ESP,8529.4,267,19.2810926,,67.1,2626,270,0.178727114,TUBING,BODY
137,145,ESP_2,ESP,8576.1,267,19.27634665,,67.1,2626,270,0.18239736,PUMP,STAGE
138,139,ESP_1,ESP,7938.95,267,16.33435736,,67.1,2626,270,9.748001871,TUBING,STAGE
139,65,ESP_1,ESP,8482.97,267,23.57663594,,67.1,2626,270,,PUMP,STAGE
140,256,ESP_1,ESP,8678.05,267,19.02328586,,67.1,2626,270,,PUMP,STAGE
141,256,ESP_2,ESP,8658.21,327,26.36385471,,46.6,2730,195,,PUMP,STAGE
142,45,ESP_1,ESP,8472.47,267,19.00530292,,67.1,2626,270,,PUMP,STAGE
143,254,ESP_1,ESP,8384.99,0,23.58783535,,67.1,2626,270,1.181467209,TUBING,BODY
144,15,ESP_1,ESP,7799.32,267,23.57850177,,,,,,PUMP,STAGE
145,15,ESP_2,ESP,7787.02,327,26.13490564,,46.6,2730,195,,TUBING,COLLAR
146,44,ESP_1,ESP,8312.88,267,23.5990454,,67.1,2626,270,,PUMP,STAGE
147,253,ESP_1,ESP,7870.43,351,22.95008118,,,,,,ELECTRICAL,CABLE
148,18,ESP_1,ESP,7935.65,388,15.8472771,,55.2,2495,216,,ELECTRICAL,CABLE
149,124,ESP_1,ESP,7835.7,267,23.64586887,,67.1,2626,270,,PUMP,STAGE
150,247,ESP_1,ESP,8170.27,267,23.49853688,,67.1,2626,270,0.682051923,ELECTRICAL,CABLE
151,247,ESP_3,ESP,8194.98,267,22.42495547,,67.1,2626,270,0.916932955,PUMP,SHAFT
152,75,ESP_1,ESP,7943.32,267,23.5152288,,67.1,2626,270,0.44148719,PUMP,COUPLING (BOX)
153,119,ESP_1,ESP,7866.3,445,11.14896563,,,,,,TUBING,BODY
154,134,ESP_1,ESP,8079.45,267,16.18949031,,67.1,2626,270,,TUBING,
155,95,ESP_1,ESP,7643.99,304,22.28739973,,,,,,ELECTRICAL,MOTOR
156,33,ESP_1,ESP,8147.14,207,16.29399643,,67.1,2626,270,,TUBING,BODY
157,99,ESP_1,ESP,8086.77,207,16.36118116,,67.1,2626,270,,TUBING,BODY
158,252,ESP_1,ESP,7569.43,267,18.52711494,,67.1,2626,270,,PUMP,STAGE
159,284,ESP_1,ESP,8116.06,267,20.42305478,,,,,,ELECTRICAL,MOTOR
160,140,ESP_1,ESP,7868.16,284,22.45876361,,,,,10.84455306,PUMP,STAGE
161,341,ESP_1,ESP,7927.9,504,17.56192132,,,,,,ELECTRICAL,MOTOR
162,143,ESP_1,ESP,8041.24,0,12.23151936,,,,,,ELECTRICAL,MOTOR
163,258,ESP_1,ESP,7908,445,12.9055064,,,,,9.620483706,PUMP,BODY
164,285,ESP_1,ESP,7958.81,415,12.92428903,,,,,10.9350877,ELECTRICAL,CABLE
165,142,ESP_1,ESP,8160.9,415,14.10893285,,,,,,TUBING,MANDREL
